Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22p,
"C10, C11, C12, C13, C14, C9",0805,6,100nf,
"C3, C4, C5, C6",0805,4,0.1u,
C7,0805,1,4.7u,
C8,0805,1,1u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD123_axial,18,D,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"K1, K10, K11, K12, K13, K14, K15, K16, K17, K18, K2, K3, K4, K5, K6, K7, K8, K9",Mx_Alps_100,18,KEYSW,
"LED1, LED2, LED3, LED4, LED5, LED6",LED-SMD_4P-L1.3-W1.3-P0.80_WS2812E-1313,6,WS2812E-1313,
PWRLED1,1206,1,LED,
"R1, R2",0805,2,10k,
"R3, R4",0805,2,5.1k,
"R5, R6",0805,2,22,
SW1,SW_SPST_TL3342,1,SW_PUSH,
U1,TQFP-44_10x10mm_P0.8mm,1,ATMEGA32U4,
XTAL1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm_HandSoldering,1,FA-238 16.0000MB-C3,
